id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0151804,Office Space,R,Comedy,90,1999-02-19,20th Century Fox,12800000,10000000,7.383,2765,22.723,Mike Judge,Masculino
tt0176269,Universal Soldier: The Return,R,Action,82,1999-08-05,TriStar Pictures,10700000,33500000,5.913,1206,22.729,Mic Rodgers,Masculino
tt0157503,Drop Dead Gorgeous,PG-13,Comedy,98,1999-07-23,Capella International,10571408,10000000,6.389,346,13.956,Michael Patrick Jann,Masculino
tt0144640,Three to Tango,PG-13,Comedy,98,1999-10-22,Village Roadshow Pictures,10570375,20000000,5.744,238,8.457,Damon Santostefano,Masculino
tt0200469,Bats,PG-13,Horror,91,1999-10-22,Destination Films,10200000,5250000,4.4,177,11.086,Louis Morneau,Masculino
tt0120620,Brokedown Palace,PG-13,Drama,100,1999-08-13,Two Girls Productions,10115013,25000000,6.348,348,23.112,Jonathan Kaplan,Masculino
tt0160236,Dudley Do-Right,PG,Comedy,77,1999-08-27,Universal Pictures,10000000,70000000,4,168,11.849,Hugh Wilson,Masculino
tt0133046,Teaching Mrs. Tingle,PG-13,Comedy,96,1999-08-11,Dimension Films,8946237,13000000,5.457,311,14.858,Kevin Williamson,Masculino
tt0134618,"Mystery, Alaska",R,Drama,119,1999-10-01,Baldwin/Cohen Productions,8891623,28000000,6.231,234,12.173,Jay Roach,Masculino
tt0196857,Play It to the Bone,R,Comedy,124,1999-12-25,Touchstone Pictures,8434146,24000000,5.596,146,9.3,Ron Shelton,Masculino
tt0120797,Pushing Tin,R,Comedy,124,1999-04-23,Taurus Film,8408835,33000000,5.9,368,17.817,Mike Newell,Masculino
tt0145503,Sunshine,R,Drama,181,1999-09-13,Téléfilm Canada,7918035,26000000,6.5,126,11.137,István Szabó,Masculino
tt0125971,Outside Providence,R,Romance,96,1999-09-01,Eagle Beach Productions,7292175,7000000,5.832,92,6.923,Michael Corrente,Masculino
tt0130827,Lola rennt,R,Action,81,1998-03-03,X Filme Creative Pool,7267585,1530000,7.305,2074,20.498,Tom Tykwer,Masculino
tt0137338,200 Cigarettes,R,Comedy,101,1999-02-26,Paramount,6852450,6000000,5.938,154,9.8,Risa Bramon Garcia,Femenino
tt0120836,Lost & Found,PG-13,Comedy,95,1999-04-23,Dinamo Entertainment,6552255,30000000,5.075,87,7.781,Jeff Pollack,Masculino
tt0166896,The Straight Story,G,Drama,112,1999-10-15,Les Films Alain Sarde,6200000,10000000,7.724,1413,18.36,David Lynch,Masculino
tt0144168,Dick,PG-13,Comedy,94,1999-08-04,Columbia Pictures,27500000,13000000,5.838,247,9.715,Andrew Fleming,Masculino
tt0172726,Light It Up,R,Drama,99,1999-11-04,Edmonds Entertainment Group,5985690,13000000,6.6,32,4.193,Craig Bolotin,Masculino
tt0120716,Jakob the Liar,PG-13,Comedy,120,1999-09-16,Global Medien KG,4956701,45000000,6.68,350,14.353,Peter Kassovitz,Masculino
tt0120613,A Walk on the Moon,R,Drama,107,1999-01-29,Miramax,4750660,14000000,5.972,90,7.252,Tony Goldwyn,Masculino
tt0155711,Flawless,R,Comedy,112,1999-11-26,Metro-Goldwyn-Mayer,4488529,15000000,6.1,236,17.212,Joel Schumacher,Masculino
tt0145893,Simply Irresistible,PG-13,Comedy,95,1999-02-05,New Regency Pictures,4398989,6000000,5.385,222,8.645,Mark Tarlov,Masculino
tt0165710,Detroit Rock City,R,Comedy,95,1999-08-13,Corrupter Production Service Ltd.,4217115,6500000,6.7,383,14.911,Adam Rifkin,Masculino
tt0120683,Gloria,R,Drama,108,1999-01-22,Mandalay Entertainment,4197729,30000000,5.729,109,16.692,Sidney Lumet,Masculino
tt0138510,Idle Hands,R,Comedy,92,1999-04-30,Licht/Mueller Film Corporation,4152230,25000000,6.154,607,17.517,Rodman Flender,Masculino
tt0145734,Playing by Heart,R,Comedy,121,1998-12-30,Morpheus,3970078,20000000,6.608,203,12.583,Willard Carroll,Masculino
tt0120735,"Lock, Stock and Two Smoking Barrels",R,Comedy,105,1998-08-28,Summit Entertainment,28356188,1350000,8.123,6230,15.692,Guy Ritchie,Masculino
